,_id,stock_identity,trade_date,amount,change,close,high,low,open,pct_chg,pre_close,ts_code,vol
5913,5e92c5d1d1add8fec462e9f1,000001.SSE,2015-02-25,265143351.568,-18.063,3228.843,3257.223,3215.552,3256.479,-0.5563,3246.906,000001.SH,233348094.0
5914,5e92c5d1d1add8fec462e9f0,000001.SSE,2015-02-26,334347476.047,69.516,3298.359,3300.616,3202.188,3222.151,2.153,3228.843,000001.SH,301263875.0
5915,5e92c5d1d1add8fec462e9ef,000001.SSE,2015-02-27,335019568.776,11.944,3310.303,3324.546,3291.007,3296.831,0.3621,3298.359,000001.SH,299163717.0
5916,5e92c5d1d1add8fec462e9ee,000001.SSE,2015-03-02,410259559.474,25.982,3336.285,3336.76,3298.669,3332.721,0.7849,3310.303,000001.SH,346445671.0
5917,5e92c5d1d1add8fec462e9ed,000001.SSE,2015-03-03,441593480.102,-73.233,3263.052,3317.695,3260.429,3317.695,-2.195,3336.285,000001.SH,382044619.0
5918,5e92c5d1d1add8fec462e9ec,000001.SSE,2015-03-04,346789769.32,16.481,3279.533,3286.588,3250.484,3264.182,0.5051,3263.052,000001.SH,293639522.0
5919,5e92c5d1d1add8fec462e9eb,000001.SSE,2015-03-05,373579996.448,-31.057,3248.476,3266.638,3221.666,3264.085,-0.947,3279.533,000001.SH,320663585.0
5920,5e92c5d1d1add8fec462e9ea,000001.SSE,2015-03-06,328344152.93,-7.289,3241.187,3266.933,3234.533,3248.036,-0.2244,3248.476,000001.SH,282915791.0
5921,5e92c5d1d1add8fec462e9e9,000001.SSE,2015-03-09,359927522.111,61.221,3302.408,3307.702,3198.37,3224.314,1.8888,3241.187,000001.SH,321495440.0
5922,5e92c5d1d1add8fec462e9e8,000001.SSE,2015-03-10,329955974.292,-16.34,3286.068,3309.915,3277.095,3289.085,-0.4948,3302.408,000001.SH,285817576.0
5923,5e92c5d1d1add8fec462e9e7,000001.SSE,2015-03-11,327573066.473,4.832,3290.9,3325.054,3278.471,3289.594,0.147,3286.068,000001.SH,282985535.0
5924,5e92c5d1d1add8fec462e9e6,000001.SSE,2015-03-12,407192390.375,58.423,3349.323,3360.054,3300.488,3314.813,1.7753,3290.9,000001.SH,357295105.0
5925,5e92c5d1d1add8fec462e9e5,000001.SSE,2015-03-13,374041421.892,23.588,3372.911,3391.255,3352.15,3359.488,0.7043,3349.323,000001.SH,328410154.0
5926,5e92c5d1d1add8fec462e9e4,000001.SSE,2015-03-16,479355307.996,76.394,3449.305,3449.305,3377.087,3391.158,2.2649,3372.911,000001.SH,399132430.0
